Author,Book,Rating,Blurb,Author Year of Birth,Author Country
Nelson Mandela,Long Walk To Freedom,4.43,"Nelson Mandela is one of the great moral and political leaders of our time: an international hero whose lifelong dedication to the fight against racial oppression in South Africa won him the Nobel Peace Prize and the presidency of his country. Since his triumphant release in 1990 from more than a quarter-century of imprisonment, Mandela has been at the center of the most compelling and inspiring political drama in the world. As president of the African National Congress and head of South Africa's anti-apartheid movement, he was instrumental in moving the nation toward multiracial government and majority rule. He is revered everywhere as a vital force in the fight for human rights and racial equality. The foster son of a Thembu chief, Mandela was raised in the traditional, tribal culture of his ancestors, but at an early age learned the modern, inescapable reality of what came to be called apartheid, one of the most powerful and effective systems of oppression ever conceived. In classically elegant and engrossing prose, he tells of his early years as an impoverished student and law clerk in a Jewish firm in Johannesburg, of his slow political awakening, and of his pivotal role in the rebirth of a stagnant ANC and the formation of its Youth League in the 1950s. He describes the struggle to reconcile his political activity with his devotion to his family, the anguished breakup of his first marriage, and the painful separations from his children. He brings vividly to life the escalating political warfare in the fifties between the ANC and the government, culminating in his dramatic escapades as an underground leader and the notorious Rivonia Trial of 1964, at which he was sentenced to life imprisonment. Herecounts the surprisingly eventful twenty-seven years in prison and the complex, delicate negotiations that led both to his freedom and to the beginning of the end of apartheid. Finally he provides the ultimate inside account. less",,
Oyinkan Braithwaite,"My Sister, the Serial Killer",4.41,"LONGLISTED FOR THE 2019 WOMEN'S PRIZEA short, darkly funny, hand grenade of a novel about a Nigerian woman whose younger sister has a very inconvenient habit of killing her boyfriends""Femi makes three, you know. Three and they label you a serial killer.""Korede is bitter. How could she not be? Her sister, Ayoola, is many things: the favorite child, the beautiful one, possibly sociopathic. And now Ayoola's third boyfriend in a row is dead.Korede's practicality is the sisters' saving grace. She knows the best solutions for cleaning blood, the trunk of her car is big enough for a body, and she keeps Ayoola from posting pictures of her dinner to Instagram when she should be mourning her ""missing"" boyfriend. Not that she gets any credit.Korede has long been in love with a kind, handsome doctor at the hospital where she works. She dreams of the day when he will realize that she's exactly what he needs. But when he asks Korede for Ayoola's phone number, she must reckon with what her sister has become and how far she's willing to go to protect her.Sharp as nails and full of deadpan wit, Oyinkan Braithwaite's deliciously deadly debut is as fun as it is frightening. less",,
Kathryn Stockett,The Help,4.4,"Three ordinary women are about to take one extraordinary step.Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't. (jacket flap) less",,
Abraham Verghese,Cutting for Stone,4.38,"A sweeping, emotionally riveting first novel—an enthralling family saga of Africa and America, doctors and patients, exile and home.Marion and Shiva Stone are twin brothers born of a secret union between a beautiful Indian nun and a brash British surgeon at a mission hospital in Addis Ababa. Orphaned by their mother’s death in childbirth and their father’s disappearance, bound together by a preternatural connection and a shared fascination with medicine, the twins come of age as Ethiopia hovers on the brink of revolution. Yet it will be love, not politics—their passion for the same woman—that will tear them apart and force Marion, fresh out of medical school, to flee his homeland. He makes his way to America, finding refuge in his work as an intern at an underfunded, overcrowded New York City hospital. When the past catches up to him—nearly destroying him—Marion must entrust his life to the two men he thought he trusted least in the world: the surgeon father who abandoned him and the brother who betrayed him.An unforgettable journey into one man’s remarkable life, and an epic story about the power, intimacy, and curious beauty of the work of healing others.(front flap) less",born 1955,Abraham Verghese(born 1955)
"Malcolm X, M. S. Handler, Ossie Davis, Attallah Shabazz, Alex Haley",The Autobiography of Malcolm X,4.38,"With its first great victory in the landmark Supreme Court decision Brown v. Board of Education in 1954, the civil rights movement gained the powerful momentum it needed to sweep forward into its crucial decade, the 1960s. As voices of protest and change rose above the din of history and false promises, one voice sounded more urgently, more passionately, than the rest. Malcolm X—once called the most dangerous man in America—challenged the world to listen and learn the truth as he experienced it. And his enduring message is as relevant today as when he first delivered it.In the searing pages of this classic autobiography, originally published in 1964, Malcolm X, the Muslim leader, firebrand, and anti-integrationist, tells the extraordinary story of his life and the growth of the Black Muslim movement to veteran writer and journalist Alex Haley . In a unique collaboration, Haley worked with Malcolm X for nearly two years, interviewing, listening to, and understanding the most controversial leader of his time.Raised in Lansing, Michigan, Malcolm Little journeyed on a road to fame as astonishing as it was unpredictable. Drifting from childhood poverty to petty crime, Malcolm found himself in jail. It was there that he came into contact with the teachings of a little-known Black Muslim leader renamed Elijah Muhammad. The newly renamed Malcolm X devoted himself body and soul to the teachings of Elijah Muhammad and the world of Islam, becoming the Nation’s foremost spokesman. When his conscience forced him to break with Elijah Muhammad, Malcolm founded the Organization of Afro-American Unity to reach African Americans across the country with an inspiring message of pride, power, and self-determination. less",,
Tomi Adeyemi,"Children of Blood and Bone (Legacy of Orïsha, #1)",4.38,"They killed my mother.They took our magic.They tried to bury us.Now we rise.Zélie Adebola remembers when the soil of Orïsha hummed with magic. Burners ignited flames, Tiders beckoned waves, and Zélie’s Reaper mother summoned forth souls.But everything changed the night magic disappeared. Under the orders of a ruthless king, maji were killed, leaving Zélie without a mother and her people without hope.Now Zélie has one chance to bring back magic and strike against the monarchy. With the help of a rogue princess, Zélie must outwit and outrun the crown prince, who is hell-bent on eradicating magic for good.Danger lurks in Orïsha, where snow leoponaires prowl and vengeful spirits wait in the waters. Yet the greatest danger may be Zélie herself as she struggles to control her powers and her growing feelings for an enemy. less",,
Ralph Ellison,Invisible Man,4.34,"First published in 1952 and immediately hailed as a masterpiece, Invisible Man is one of those rare novels that have changed the shape of American literature. For not only does Ralph Ellison's nightmare journey across the racial divide tell unparalleled truths about the nature of bigotry and its effects on the minds of both victims and perpetrators, it gives us an entirely new model of what a novel can be.As he journeys from the Deep South to the streets and basements of Harlem, from a horrifying ""battle royal"" where black men are reduced to fighting animals, to a Communist rally where they are elevated to the status of trophies, Ralph Ellison's nameless protagonist ushers readers into a parallel universe that throws our own into harsh and even hilarious relief. Suspenseful and sardonic, narrated in a voice that takes in the symphonic range of the American language, black and white, Invisible Man is one of the most audacious and dazzling novels of our century. less",,
Barbara Kingsolver,The Poisonwood Bible,4.33,"The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa. less",,
J.M. Coetzee,Waiting for the Barbarians,4.33,"For decades the Magistrate has been a loyal servant of the Empire, running the affairs of a tiny frontier settlement and ignoring the impending war with the barbarians. When interrogation experts arrive, however, he witnesses the Empire's cruel and unjust treatment of prisoners of war. Jolted into sympathy for their victims, he commits a quixotic act of rebellion that brands him an enemy of the state.J. M. Coetzee's prize-winning novel is a startling allegory of the war between opressor and opressed. The Magistrate is not simply a man living through a crisis of conscience in an obscure place in remote times; his situation is that of all men living in unbearable complicity with regimes that ignore justice and decency. less",,
Tsitsi Dangarembga,"Nervous Conditions (Nervous Conditions, #1)",4.32,"Tambudzai dreams of education, but her hopes only materialise after her brother's death, when she goes to live with her uncle. At his mission school, her critical faculties develop rapidly, bringing her face to face with a new set of conflicts involving her uncle, his education and his family. Tsitsi Dangarembga's quietly devastating first novel offers a portrait of Zimbabwe, where enlightenment brings its own profound dilemmas. less",born 1959,Zimbabwe
Toni Morrison,Beloved,4.31,"Staring unflinchingly into the abyss of slavery, this spellbinding novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. Her new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved. Filled with bitter poetry and suspense as taut as a rope, Beloved is a towering achievement by Nobel Prize laureate Toni Morrison. less",,
Ishmael Beah,A Long Way Gone,4.31,"The devastating story of war through the eyes of a child soldier. Beah tells how, at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he’d been picked up by the government army, and became a soldier.My new friends have begun to suspect I haven’t told them the full story of my life.“Why did you leave Sierra Leone?”“Because there is a war.”“You mean, you saw people running around with guns and shooting each other?”“Yes, all the time.”“Cool.”I smile a little.“You should tell us about it sometime.”“Yes, sometime.” This is how wars are fought now: by children, hopped-up on drugs and wielding AK-47s. Children have become soldiers of choice. In the more than fifty conflicts going on worldwide, it is estimated that there are some 300,000 child soldiers. Ishmael Beah used to be one of them. What is war like through the eyes of a child soldier? How does one become a killer? How does one stop? Child soldiers have been profiled by journalists, and novelists have struggled to imagine their lives. But until now, there has not been a first-person account from someone who came through this hell and survived.In A Long Way Gone, Beah, now twenty-five years old, tells a riveting story: how at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he’d been picked up by the government army, and Beah, at heart a gentle boy, found that he was capable of truly terrible acts. This is a rare and mesmerizing account, told with real literary force and heartbreaking honesty. less",,
Chimamanda Ngozi Adichie,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",4.31,"From the best-selling author of Americanah and We Should All Be Feminists comes a powerful new statement about feminism today--written as a letter to a friend. A few years ago, Chimamanda Ngozi Adichie received a letter from a dear friend from childhood, asking her how to raise her baby girl as a feminist. Dear Ijeawele is Adichie's letter of response.Here are fifteen invaluable suggestions--compelling, direct, wryly funny, and perceptive--for how to empower a daughter to become a strong, independent woman. From encouraging her to choose a helicopter, and not only a doll, as a toy if she so desires; having open conversations with her about clothes, makeup, and sexuality; debunking the myth that women are somehow biologically arranged to be in the kitchen making dinner, and that men can ""allow"" women to have full careers, Dear Ijeawele goes right to the heart of sexual politics in the twenty-first century. It will start a new and urgently needed conversation about what it really means to be a woman today. less",born 1977,Nigeria
Tayeb Salih,Season of Migration to the North,4.3,"An alternate cover for this isbn can be found here.The story of a man undone by a culture that in part created him, Season of Migration to the North, is a powerful and evocative examination of colonization in two vastly different worlds. When a young man returns to his village in the Sudan after many years studying in Europe, he finds that among the familiar faces there is now a stranger - the enigmatic Mustafa Sa'eed. As the two become friends, Mustafa tells the younger man the disturbing story of his own life in London after the First World War. Lionized by society and desired by women as an exotic novelty, Mustafa was driven to take brutal revenge on the decadent West and was, in turn, destroyed by it. Now the terrible legacy of his actions has come to haunt the small village at the bend of the Nile. less",,
Alice Walker,The Color Purple,4.3,"The Color Purple is a classic. With over a million copies sold in the UK alone, it is hailed as one of the all-time 'greats' of literature, inspiring generations of readers.Set in the deep American South between the wars, it is the tale of Celie, a young black girl born into poverty and segregation. Raped repeatedly by the man she calls 'father', she has two children taken away from her, is separated from her beloved sister Nettie and is trapped into an ugly marriage. But then she meets the glamorous Shug Avery, singer and magic-maker - a woman who has taken charge of her own destiny. Gradually, Celie discovers the power and joy of her own spirit, freeing her from her past and reuniting her with those she loves. less",,
Ayobami Adebayo,Stay with Me,4.27,"This celebrated, unforgettable first novel, shortlisted for the prestigious Women's Prize for Fiction and set in Nigeria, gives voice to both husband and wife as they tell the story of their marriage--and the forces that threaten to tear it apart.Yejide and Akin have been married since they met and fell in love at university. Though many expected Akin to take several wives, he and Yejide have always agreed: polygamy is not for them. But four years into their marriage--after consulting fertility doctors and healers, trying strange teas and unlikely cures--Yejide is still not pregnant. She assumes she still has time--until her family arrives on her doorstep with a young woman they introduce as Akin's second wife. Furious, shocked, and livid with jealousy, Yejide knows the only way to save her marriage is to get pregnant, which, finally, she does--but at a cost far greater than she could have dared to imagine. An electrifying novel of enormous emotional power, Stay With Me asks how much we can sacrifice for the sake of family. less",,
Alexander McCall Smith,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4.26,"Precious Ramotswe has only just set up shop as Botswana's No.1 (and only) lady detective when she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter. However, the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witch doctors. less",,
"Ngugi wa Thiong'o, Chinua Achebe, Abdulrazak Gurnah",A Grain of Wheat,4.25,"Set in the wake of the Mau Mau rebellion and on the cusp of Kenya's independence from Britain, A Grain of Wheat follows a group of villagers whose lives have been transformed by the 1952-1960 Emergency. At the center of it all is the reticent Mugo, the village's chosen hero and a man haunted by a terrible secret. As we learn of the villagers' tangled histories in a narrative interwoven with myth and peppered with allusions to real-life leaders, including Jomo Kenyatta, a masterly story unfolds in which compromises are forced, friendships are betrayed, and loves are tested. less",,
Chinua Achebe,No Longer at Ease,4.23,"Obi Okonkwo is an idealistic young man who, thanks to the privileges of an education in Britain, has now returned to Nigeria for a job in the civil service. However in his new role he finds that the way of government seems to be backhanders and corruption. Obi manages to resist the bribes that are offered to him, but when he falls in love with an unsuitable girl - to the disapproval of his parents - he sinks further into emotional and financial turmoil. The lure of easy money becomes harder to refuse, and Obi becomes caught in a trap he cannot escape.Showing a man lost in cultural limbo, and a Nigeria entering a new age of disillusionment, No Longer at Ease concludes Achebe's remarkable trilogy charting three generations of an African community under the impact of colonialism, the first two volumes of which are Things Fall Apart and Arrow of God. less",1930–2013,Nigeria
Mariama B,So Long a Letter,4.22,"This novel is in the form of a letter, written by the widowed Ramatoulaye and describing her struggle for survival. It is the winner of the Noma Award. less",,
Bryce Courtenay,"The Power of One (The Power of One, #1)",4.22,"In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams, which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives and the power of one. less",,
Nnedi Okorafo,"Binti (Binti, #1)",4.22,"Her name is Binti, and she is the first of the Himba people ever to be offered a place at Oomza University, the finest institution of higher learning in the galaxy. But to accept the offer will mean giving up her place in her family to travel between the stars among strangers who do not share her ways or respect her customs.Knowledge comes at a cost, one that Binti is willing to pay, but her journey will not be easy. The world she seeks to enter has long warred with the Meduse, an alien race that has become the stuff of nightmares. Oomza University has wronged the Meduse, and Binti's stellar travel will bring her within their deadly reach.If Binti hopes to survive the legacy of a war not of her making, she will need both the gifts of her people and the wisdom enshrined within the University, itself - but first she has to make it there, alive. less",,
Nnedi Okorafor,"Akata Witch (Akata Witch, #1)",4.22,"Akata Witch transports the reader to a magical place where nothing is quite as it seems. Born in New York, but living in Aba, Nigeria, twelve-year old Sunny is understandably a little lost. She is albino and thus, incredibly sensitive to the sun. All Sunny wants to do is be able to play football and get through another day of school without being bullied. But once she befriends Orlu and Chichi, Sunny is plunged in to the world of the Leopard People, where your worst defect becomes your greatest asset. Together, Sunny, Orlu, Chichi and Sasha form the youngest ever Oha Coven. Their mission is to track down Black Hat Otokoto, the man responsible for kidnapping and maiming children. Will Sunny be able to overcome the killer with powers stronger than her own, or will the future she saw in the flames become reality? less",born 1974,Nigeria/US
Ayaan Hirsi Ali,Infidel,4.21,"One of today’s most admired and controversial political figures, Ayaan Hirsi Ali burst into international headlines following the murder of Theo van Gogh by an Islamist who threatened that she would be next. She made headlines again when she was stripped of her citizenship and resigned from the Dutch Parliament.Infidel shows the coming of age of this distinguished political superstar and champion of free speech as well as the development of her beliefs, iron will, and extraordinary determination to fight injustice. Raised in a strict Muslim family, Hirsi Ali survived civil war, female mutilation, brutal beatings, adolescence as a devout believer during the rise of the Muslim Brotherhood, and life in four troubled, unstable countries ruled largely by despots. She escaped from a forced marriage and sought asylum in the Netherlands, where she earned a college degree in political science, tried to help her tragically depressed sister adjust to the West, and fought for the rights of Muslim women and the reform of Islam as a member of Parliament. Under constant threat, demonized by reactionary Islamists and politicians, disowned by her father, and expelled from family and clan, she refuses to be silenced.Ultimately a celebration of triumph over adversity, Hirsi Ali’s story tells how a bright little girl evolves out of dutiful obedience to become an outspoken, pioneering freedom fighter. As Western governments struggle to balance democratic ideals with religious pressures, no other book could be more timely or more significant. less",,
NoViolet Bulawayo,We Need New Names,4.21,"An exciting literary debut: the unflinching and powerful story of a young girl's journey out of Zimbabwe and to America.Darling is only ten years old, and yet she must navigate a fragile and violent world. In Zimbabwe, Darling and her friends steal guavas, try to get the baby out of young Chipo's belly, and grasp at memories of Before. Before their homes were destroyed by paramilitary policemen, before the school closed, before the fathers left for dangerous jobs abroad.But Darling has a chance to escape: she has an aunt in America. She travels to this new land in search of America's famous abundance only to find that her options as an immigrant are perilously few. NoViolet Bulawayo's debut calls to mind the great storytellers of displacement and arrival who have come before her--from Junot Diaz to Zadie Smith to J.M. Coetzee--while she tells a vivid, raw story all her own. less",born 1981,Zimbabwe
"Maya Angelou, Oprah Winfrey",I Know Why the Caged Bird Sings,4.21,"Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.   Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.   Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read. “I Know Why the Caged Bird Sings liberates the reader into life simply because Maya Angelou confronts her own life with such a moving wonder, such a luminous dignity.”—James Baldwin less",,
